Genre,Number of Tracks
 Powerviolence,262
 Powwow,217
 Praise,693
 Prank,146
 Prepared Piano,97
 Preschool Children's Music,233
 Prog Metal,101
 Prog Québec,99
 Progressive Alternative,143
 Progressive Black Metal,275
 Progressive Bluegrass,387
 Progressive Breaks,231
 Progressive Deathcore,380
 Progressive Doom,233
 Progressive Electro House,497
 Progressive House,732
 Progressive Jazz Fusion,256
 Progressive Metal,423
 Progressive Metalcore,194
 Progressive Post-Hardcore,345
 Progressive Power Metal,271
 Progressive Psytrance,337
 Progressive Rock,388
 Progressive Sludge,193
 Progressive Technical Death Metal,141
 Progressive Thrash,236
 Progressive Trance,660
 Progressive Trance House,275
 Progressive Uplifting Trance,410
 Proto-Rap,94
 Proto-Techno,100
 Protopunk,195
 Psalmen,179
 Psybreaks,219
 Psych Gaze,268
 Psychedelic Blues-Rock,310
 Psychedelic Doom,446
 Psychedelic Folk,206
 Psychedelic Folk Rock,100
 Psychedelic Punk,114
 Psychedelic Rock,468
 Psychedelic Space Rock,128
 Psychedelic Trance,304
 Psychill,344
 Psychobilly,337
 Psychokore,127
 Psytech,107
 Pub Rock,343
 Puerto Rican Folk,144
 Puerto Rican Indie,215
 Puerto Rican Metal,96
 Puerto Rican Pop,101
 Puerto Rican Rock,213
 Puglia Indie,197
 Punjabi Folk,95
 Punjabi Pop,415
 Punk,539
 Punk Blues,359
 Punk Català,116
 Punk Euskera,112
 Punk Rock Italiano,143
 Punk Ska,232
 Punk Tuga,104
 Punk Urbano,231
 Punta,90
 Purple Sound,91
 Qawwali,127
 Quatuor à cordes,98
 Queens Hip Hop,165
 Queercore,157
 Quiet Storm,571
 Quran,102
 Québec Death Metal,133
 Québec Indie,143
 Québec Punk,122
 R&B,591
 R&B Argentino,107
 R&B Brasileiro,133
 R&B en Español,128
 Rabindra Sangeet,109
 Radio Symphony,198
 Ragga Jungle,295
 Ragtime,224
 Rai,410
 Rajasthani Folk,150
 Rajasthani Pop,159
 Rakugo,108
 Ranchera,508
 Rap,926
 Rap Algérien,85
 Rap Antillais,157
 Rap Baiano,121
 Rap Calme,262
 Rap Catalan,108
 Rap Conciencia,127
 Rap Conscient,155
 Rap Criolo,116
 Rap Cristiano,355
 Rap Cristão,246
 Rap Ecuatoriano,63
 Rap Euskera,102
 Rap Feminino Nacional,139
 Rap Français,590
 Rap Galego,94
 Rap Ivoire,96
 Rap Kreyòl,107
 Rap Latina,173
 Rap Maroc,170
 Rap Maromba,78
 Rap Marseille,178
 Rap Metal,111
 Rap Metal Español,149
 Rap Metalcore,244
 Rap Montréalais,226
 Rap Napoletano,176
 Rap Rock,489
 Rap Salvadoreño,116
 Rap Sardegna,117
 Rap Toscana,109
 Rap Tunisien,99
 Rare Groove,306
 Rave,114
 Raw Black Metal,149
 Raw Techno,131
 Rawstyle,462
 Re:Techno,215
 Reading,340
 Reading Indie,127
 Rebel Blues,195
 Rebetiko,282
 Recorder,167
 Red Dirt,259
 Redneck,392
 Reggae,412
 Reggae Català,112
 Reggae Fusion,176
 Reggae Mexicano,119
 Reggae Rock,322
 Reggae en Español,324
 Reggaeton,472
 Reggaeton Flow,528
 Regional Mexican,462
 Regional Mexican Pop,552
 Reiki,139
 Relaxative,450
 Remix Product,142
 Renaissance,369
 Retro Electro,497
 Retro Metal,352
 Retro Soul,140
 Rhode Island Indie,290
 Rhythm Game,156
 Rhythm and Blues,374
 Rhythm and Boogie,207
 Riddim,297
 Rif,374
 Ringtone,107
 Rio De La Plata,320
 Rio Grande do Sul Indie,140
 Riot Grrrl,231
 Ritmo Kombina,129
 Rochester NY Indie,225
 Rock,1173
 Rock Alternatif Français,137
 Rock Alternativo Brasileiro,123
 Rock Alternativo Español,104
 Rock Caipira,100
 Rock Català,334
 Rock Catracho,109
 Rock Chapin,164
 Rock Cristiano,174
 Rock Curitibano,124
 Rock Drums,135
 Rock Gaúcho,357
 Rock Gospel Brasileiro,164
 Rock Gótico,194
 Rock Kapak,392
 Rock Nacional,413
 Rock Nacional Brasileiro,131
 Rock Noise,143
 Rock Progresivo Mexicano,102
 Rock Québécois,171
 Rock Steady,369
 Rock Tico,224
 Rock Urbano Mexicano,154
 Rock Việt,129
 Rock en Asturiano,97
 Rock en Español,732
 Rock-and-Roll,471
 Rockabilly,375
 Rockabilly en Español,105
 Roda de Samba,101
 Rome Indie,177
 Rominimal,129
 Romántico,334
 Roots Americana,422
 Roots Reggae,474
 Roots Rock,795
 Roots Worship,365
 Rosario Indie,145
 Rosary,262
 Rotterdam Indie,103
 Rumba,397
 Rumba Catalana,139
 Rumba Congolaise,101
 Rune Folk,150
 Russelåter,565
 Ruta Destroy,130
 Ryūkyū Ongaku,155
 Ryūkōka,100
 Sacramento Indie,255
 Saint Lucia,5
 Saint-Martin,11
 Salay,86
 Salsa,401
 Salsa Choke,94
 Salsa Cristiana,117
 Salsa International,407
 Salsa Puertorriqueña,187
 Salsa Venezolana,106
 Salzburg Indie,98
 Samba,447
 Samba Reggae,77
 Samba de Roda,75
 Samba-Enredo,318
 Samba-Rock,136
 Sambass,97
 San Antonio Indie,148
 San Diego Indie,224
 San Diego Rap,145
 San Marcos TX Indie,111
 Sandalwood,142
 Santa Fe Indie,98
 Santur,90
 Sarangi,73
 Sardinia Indie,142
 Sarod,90
 Saskatchewan Indie,144
 Scandinavian R&B,122
 Scandipop,170
 Schlager,434
 School Choir,198
 School Ensemble,362
 Schranz,289
 Schweizer Rap,265
 Sci-Fi Metal,232
 Scorecore,578
 Scottish Americana,167
 Scottish Electronic,110
 Scottish Fiddle,101
 Scottish Folk,280
 Scottish Gaelic Folk,104
 Scottish Hip Hop,110
 Scottish Indie,300
 Scottish Indie Folk,155
 Scottish Indie Rock,170
 Scottish Jazz,126
 Scottish Metal,142
 Scottish New Wave,202
 Scottish Rock,403
 Scottish Singer-Songwriter,175
 Scottish Techno,182
 Scratch,199
 Scream Rap,108
 Screamo,639
 Screamocore,210
 Seattle Indie,371
 Second Line,89
 Sefardi,171
 Semba,184
 Serialism,119
 Sertanejo,440
 Sertanejo Gospel,99
 Sertanejo Pop,436
 Sertanejo Tradicional,348
 Sertanejo Universitario,469
 Sevdah,324
 Sevilla Indie,103
 Sevillanas,156
 Shaabi,91
 Shabad,213
 Shakuhachi,67
 Shamanic,381
 Shamisen,94
 Shanty,190
 Shantykoren,77
 Sheffield Indie,284
 Sheilat,83
 Shibuya-Kei,267
 Shimmer Pop,502
 Shimmer Psych,199
 Shiver Pop,204
 Shoegaze,317
 Sholawat,163
 Show Tunes,562
 Shred,299
 Siberian Folk,125
 Sinaloa Indie,132
 Singer-Songwriter,242
 Singing Bowl,85
 Sinhala Pop,284
 Sinhala Rap,84
 Sinogaze,94
 Sitar,91
 Ska,479
 Ska Argentino,197
 Ska Català,113
 Ska Español,107
 Ska Jazz,118
 Ska Mexicano,212
 Ska Punk,342
 Ska Revival,285
 Skate Punk,361
 Skiffle,195
 Skinhead Oi,217
 Skramz,323
 Skweee,184
 Sky Room,516
 Slack-Key Guitar,145
 Slam Death Metal,380
 Slam Poetry,122
 Slamming Deathcore,166
 Slash Punk,136
 Slavic Folk Metal,149
 Slayer,442
 Sleaze Rock,367
 Sleep,799
 Slovak Electronic,110
 Slovak Folk,107
 Slovak Hip Hop,116
 Slovak Indie,165
 Slovak Metal,184
 Slovak Pop,320
 Slovak Rock,105
 Slow Core,398
 Slow Game,240
 Sludge Metal,350
 Sludgecore,143
 Small Room,206
 Smooth Jazz,462
 Smooth Saxophone,197
 Smooth Soul,122
 Smooth Urban R&B,264
 SoCal Pop Punk,196
 Soca,365
 Social Media Pop,413
 Soda Pop,149
 Soft Rock,700
 Solipsynthm,210
 Somali Pop,193
 Somatik Techno,76
 Song Poem,91
 Sonora Indie,111
 Soukous,322
 Soul,584
 Soul Blues,200
 Soul Flow,224
 Soul Jazz,388
 Sound,166
 Sound Art,401
 Sound Effects,265
 Sound Team,126
 Soundtrack,466
 South Carolina Indie,154
 South Dakota Indie,109
 Southampton Indie,167
 Southeast Asian Post-Rock,156
 Southern Americana,229
 Southern Gospel,330
 Southern Hip Hop,652
 Southern Metal,128
 Southern Rock,200
 Southern Soul,387
 Southern Soul Blues,303
 Soviet Synthpop,107
 Sovietwave,99
 Spa,169
 Space Age Pop,268
 Space Ambient,134
 Space Rock,386
 Spacewave,159
 Spanish Baroque,112
 Spanish Black Metal,132
 Spanish Blues,106
 Spanish Classical,32
 Spanish Contemporary Classical,101
 Spanish Electropop,131
 Spanish Folk,354
 Spanish Folk Metal,106
 Spanish Hip Hop,353
 Spanish Indie Pop,417
 Spanish Indie Rock,145
 Spanish Invasion,238
 Spanish Jazz,111
 Spanish Metal,428
 Spanish Modern Rock,149
 Spanish New Wave,345
 Spanish Noise Pop,382
 Spanish Pop,512
 Spanish Pop Rock,310
 Spanish Post-Punk,140
 Spanish Post-Rock,99
 Spanish Prog,97
 Spanish Progressive Rock,140
 Spanish Psychedelic Rock,99
 Spanish Punk,369
 Spanish Reggae,163
 Spanish Renaissance,106
 Spanish Rock,367
 Spanish Rockabilly,104
 Spanish Stoner Rock,105
 Spanish Techno,109
 Speed Garage,87
 Speed Metal,582
 Speedcore,233
 Spiritual Jazz,219
 Spoken Word,189
 Spytrack,216
 St Petersburg FL Indie,107
 Starogradska,159
 Steampunk,332
 Steel Guitar,105
 Steelpan,196
 Stockholm Indie,219
 Stomp Pop,305
 Stomp and Flutter,128
 Stomp and Holler,707
 Stomp and Whittle,225
 Stoner Metal,359
 Stoner Rock,394
 Straight Edge,341
 Straight-Ahead Jazz,101
 Streektaal,128
 Street Band,98
 Street Punk,245
 Street Punk Español,161
 Stride,315
 String Band,327
 String Folk,190
 String Orchestra,71
 String Quartet,379
 Strut,256
 Stubenmusik,137
 Stuttgart Indie,110
 Substep,380
 Sufi,453
 Sufi Chant,93
 Sundanese Traditional,99
 Sung Poetry,138
 Sungura,144
 Sunset Lounge,175
 Sunshine Pop,124
 Suomi Rock,523
 Suomisaundi,117
 Supergroup,139
 Surf Music,273
 Swahili Gospel,113
 Swamp Blues,119
 Swamp Pop,239
 Swancore,131
 Swansea Indie,129
 Swedish Alternative Rock,427
 Swedish Americana,128
 Swedish Black Metal,249
 Swedish Blues,104
 Swedish Choir,103
 Swedish Classical,104
 Swedish Contemporary Classical,105
 Swedish Country,126
 Swedish Dancehall,115
 Swedish Death Metal,239
 Swedish Doom Metal,284
 Swedish Electronic,117
 Swedish Electropop,164
 Swedish Eurodance,136
 Swedish Fiddle,160
 Swedish Folk Pop,106
 Swedish Gangsta Rap,205
 Swedish Garage Rock,104
 Swedish Grindcore,97
 Swedish Hard Rock,271
 Swedish Hardcore,161
 Swedish Hip Hop,431
 Swedish Idol Pop,182
 Swedish Indie Pop,286
 Swedish Indie Rock,243
 Swedish Jazz,253
 Swedish Jazz Orkester,121
 Swedish Metal,263
 Swedish Metalcore,124
 Swedish Pop,638
 Swedish Pop Punk,170
 Swedish Post-Hardcore,99
 Swedish Post-Punk,107
 Swedish Power Metal,147
 Swedish Prog,232
 Swedish Psychedelic Rock,125
 Swedish Punk,308
 Swedish Reggae,268
 Swedish Rockabilly,140
 Swedish Singer-Songwriter,146
 Swedish Soul,103
 Swedish Stoner Rock,146
 Swedish Synth,370
 Swedish Synthpop,309
 Swedish Techno,270
 Swedish Trap,134
 Swedish Tropical House,115
 Swedish Underground Rap,188
 Swedish Urban,440
 Swing,395
 Swing Italiano,121
 Swing Revival,256
 Swiss Alternative Rock,101
 Swiss Contemporary Classical,112
 Swiss Country,97
 Swiss Experimental,129
 Swiss Folk,127
 Swiss Hip Hop,412
 Swiss House,103
 Swiss Indie,337
 Swiss Indie Folk,107
 Swiss Jazz,214
 Swiss Metal,334
 Swiss Pop,114
 Swiss Reggae,95
 Swiss Rock,212
 Swiss Singer-Songwriter,111
 Swiss Techno,175
 Swiss Trap,96
 Swiss Worship,88
 Sydney Indie,181
 Symphonic Black Metal,333
 Symphonic Death Metal,350
 Symphonic Metal,328
 Symphonic Power Metal,583
 Symphonic Rock,481
 Synth Punk,139
 Synthpop,260
 Syro-Aramaic Chant,80
 Szanty,70
 Sámi,245
 Séga,321
 Séga Mauricien,147
 Tabla,99
 Tagalog Worship,124
 Tahitian,119
 Taiko,93
 Tajik Pop,100
 Tajik Traditional,75
 Talent Show,185
 Talentos Brasileiros,172
 Tallava,194
 Tamborazo,149
 Tamburica,205
 Tamil Hip Hop,198
 Tamil Pop,366
 Tamil Worship,187
 Tampa Indie,104
 Tanci,39
 Tango,325
 Tango Canción,125
 Tanzlmusi,236
 Taraneem,135
 Tarantella,135
 Tassie Indie,186
 Tavern,82
 Tech House,538
 Technical Black Metal,108
 Technical Brutal Death Metal,242
 Technical Death Metal,345
 Technical Deathcore,196
 Technical Groove,97
 Technical Thrash,176
 Techno,309
 Techno Kayō,103
 Tecnobrega,166
 Teen Pop,194
 Tejano,366
 Tekno,265
 Telugu Worship,86
 Tennessee Metal,260
 Terrorcore,257
 Tex-Mex,189
 Texas Blues,159
 Texas Country,515
 Texas Pop Punk,112
 Texas Punk,270
 Thai Folk,100
 Thai Folk Pop,117
 Thai Folk Rock,126
 Thai Hip Hop,195
 Thai Idol,217
 Thai Indie,269
 Thai Indie Pop,143
 Thai Indie Rock,185
 Thai Instrumental,82
 Thai Metal,103
 Thai Pop,447
 Thai Rock,172
 Thai Traditional,93
 Thall,104
 Theme,299
 Therapy,149
 Theremin,89
 Thrash Core,285
 Thrash Metal,302
 Thrash-Groove Metal,189
 Throat Singing,174
 Tibetan Mantra,102
 Tibetan Pop,170
 Tibetan Traditional,89
 Tico,309
 Tijuana Electronic,79
 Tijuana Indie,121
 Timba,314
 Tin Pan Alley,173
 Tollywood,167
 Tone,176
 Torch Song,136
 Toronto Indie,353
 Toronto Rap,298
 Trad Jazz Català,92
 Trad Québécois,107
 Traditional Bluegrass,233
 Traditional Blues,340
 Traditional British Folk,332
 Traditional Country,118
 Traditional English Folk,182
 Traditional Folk,466
 Traditional Funk,164
 Traditional Reggae,190
 Traditional Rockabilly,185
 Traditional Scottish Folk,237
 Traditional Ska,322
 Traditional Soul,243
 Trallalero,49
 Trance,434
 Trancecore,181
 Transpop,155
 Trap,719
 Trap Argentino,200
 Trap Brasileiro,349
 Trap Català,114
 Trap Español,416
 Trap Italiana,208
 Trap Latino,93
 Trap Metal Italiana,72
 Trap Mexicano,140
 Trap Pesado,84
 Trap Queen,412
 Trap Soul,368
 Trap Tuga,107
 Traprun,395
 Trash Rock,212
 Trekkspill,201
 Triangle Indie,227
 Tribal House,219
 Tribute,165
 Trikiti,96
 Trinidadian Reggae,94
 Trio Batak,121
 Trio Huasteco,220
 Trip Hop,369
 Trival,97
 Trondheim Indie,101
 Tropical,819
 Tropical House,739
 Trova,321
 Truck-Driving Country,96
 Tucson Indie,160
 Tulsa Indie,129
 Turbo Folk,435
 Turin Indie,165
 Turkish Alternative,200
 Turkish Alternative Rock,155
 Turkish Black Metal,98
 Turkish Classical,274
 Turkish Electronic,111
 Turkish Experimental,93
 Turkish Folk,440
 Turkish Hip Hop,403
 Turkish Instrumental,127
 Turkish Jazz,399
 Turkish Metal,311
 Turkish Modern Jazz,123
 Turkish Pop,585
 Turkish Psych,184
 Turkish Punk,101
 Turkish Rock,453
 Turkish Singer-Songwriter,110
 Turkish Soundtrack,102
 Turkish Trap,144
 Turkish Trap Pop,420
 Turntablism,366
 Twee Indie Pop,193
 Twee Pop,339
 Twin Cities Indie,242
 Twoubadou,100
 Tzadik,244
 Típico,100
 Tār,142
 UK Alternative Hip Hop,486
 UK Alternative Pop,147
 UK Americana,156
 UK Beatdown,112
 UK Christian Rap,102
 UK Contemporary Jazz,167
 UK Contemporary R&B,344
 UK DIY Punk,206
 UK Dance,185
 UK Dancehall,105
 UK DnB,512
 UK Doom Metal,373
 UK Drill,278
 UK Dub,177
 UK Experimental Electronic,282
 UK Funky,233
 UK Garage,271
 UK Hip Hop,724
 UK House,177
 UK Metalcore,177
 UK Noise Rock,107
 UK Pop,253
 UK Pop Punk,152
 UK Post-Hardcore,125
 UK Post-Metal,108
 UK Post-Punk,249
 UK Post-Punk Revival,116
 UK Reggae,200
 UK Rockabilly,110
 UK Stoner Rock,158
 UK Tech House,157
 UK Worship,150
 Uilleann Pipes,128
 Ukrainian Black Metal,144
 Ukrainian Choir,65
 Ukrainian Classical,85
 Ukrainian Electronic,264
 Ukrainian Experimental,103
 Ukrainian Folk,111
 Ukrainian Hip Hop,99
 Ukrainian Indie,220
 Ukrainian Metal,210
 Ukrainian Pop,327
 Ukrainian Rock,288
 Ukulele,191
 Umbanda,126
 Umeå Indie,113
 Unblack Metal,258
 Underground Hip Hop,768
 Underground Latin Hip Hop,198
 Underground Power Pop,282
 Underground Rap,453
 University Choir,148
 Uplifting Trance,468
 Uptempo Hardcore,443
 Urban Contemporary,777
 Utah Indie,110
 Uwielbienie,103
 Uyghur Folk,76
 Uzbek Pop,255
 Uzbek Traditional,127
 V-Pop,474
 Vaikiškos Dainos,62
 Vallenato,147
 Vancouver Indie,360
 Vancouver Metal,190
 Vancouver Punk,385
 Vapor House,194
 Vapor Pop,288
 Vapor Soul,677
 Vapor Trap,598
 Vapor Twitch,470
 Vaporwave,325
 Vaqueiro,101
 Variété Française,91
 Vaudeville,198
 Veena,88
 Vegan Straight Edge,216
 Vegas Indie,183
 Velha Guarda,384
 Veracruz Indie,147
 Vermont Indie,143
 Victoria BC Indie,194
 Victorian Britain,115
 Video Game Music,445
 Vienna Indie,260
 Viking Folk,98
 Viking Metal,351
 Villancicos,116
 Vintage Chanson,258
 Vintage Chinese Pop,244
 Vintage Classical Singing,293
 Vintage Country Folk,184
 Vintage Dutch Pop,301
 Vintage French Electronic,182
 Vintage Gospel,245
 Vintage Hawaiian,211
 Vintage Hollywood,105
 Vintage Italian Soundtrack,217
 Vintage Jazz,267
 Vintage Old-Time,258
 Vintage Radio Show,69
 Vintage Reggae,105
 Vintage Rockabilly,165
 Vintage Schlager,284
 Vintage Spanish Pop,107
 Vintage Swedish Pop,308
 Vintage Swing,164
 Vintage Swoon,181
 Vintage Tango,343
 Vintage Western,158
 Viol,123
 Viola,212
 Viola Caipira,178
 Violin,319
 Violão,214
 Viral Pop,411
 Viral Trap,161
 Virgin Islands Reggae,97
 Virginia Indie,146
 Virginia Metal,255
 Virginia Punk,187
 Vispop,168
 Visual Kei,330
 Vlaamse Cabaret,90
 Vlaamse Kinderliedje,87
 Vocal Ensemble,142
 Vocal Harmony Group,200
 Vocal House,441
 Vocal Jazz,451
 Vocal Trance,125
 Vocaloid,307
 Vogue,134
 Voidgaze,462
 Voidgrind,148
 Volksmusik,431
 Volkspop,116
 Volkstümliche Musik,233
 Waiata Māori,140
 Wandelweiser,50
 War Metal,116
 Warm Drone,319
 Warrington Indie,118
 Washboard,185
 Washington Indie,123
 Wassoulou,117
 Water,166
 Wave,320
 Weightless,109
 Wellington Indie,153
 Welsh Choir,131
 Welsh Folk,171
 Welsh Hip Hop,99
 Welsh Indie,285
 Welsh Metal,102
 Welsh Rock,214
 West African Jazz,137
 West Coast Rap,201
 West Coast Reggae,165
 West Coast Trap,467
 West End,174
 West Virginia Indie,179
 West Virginia Metal,101
 West Yorkshire Indie,102
 West-Vlaamse Hip Hop,80
 Western Americana,129
 Western Mass Indie,215
 Western Swing,275
 White Noise,214
 Wind Ensemble,218
 Wind Quintet,183
 Windsor ON Indie,146
 Winnipeg Hip Hop,114
 Wisconsin Indie,113
 Witch House,212
 Women's Choir,125
 Wonky,343
 Workout Product,312
 World,357
 World Chill,244
 World Fusion,257
 World Meditation,201
 World Worship,588
 Worship,519
 Wrestling,122
 Wrock,103
 Wu Fam,197
 Wyoming Indie,105
 Wyoming Roots,101
 Xhosa,86
 Yacht Rock,217
 Ye Ye,182
 Yiddish Folk,67
 Yodeling,97
 Yoga,187
 Yoik,209
 York Indie,104
 Yugoslav New Wave,116
 Yugoslav Rock,351
 Yunnan Traditional,144
 Zampogna,63
 Zapstep,537
 Zen,171
 Zespol Dziecięcy,107
 Zeuhl,226
 Zhongguo Feng,67
 Zikir,99
 Zillertal,336
 Zim Gospel,116
 Zim Hip Hop,121
 Zim Urban Groove,184
 Zimdancehall,118
 Zither,77
 Zolo,226
 Zouglou,280
 Zouk,339
 Zouk Riddim,321
 Zydeco,315
 Zürich Indie,102
 the Czech Republic,100
 Çifteli,98
 Çocuk Şarkısı,117
 İlahiler,121
